name,position,gamesPlayed,points,goals,assists,primaryAssists,secondaryAssists,shotsOnGoal,penalties,penaltyMinutes,hits,shotsBlocked
Jake DeBrusk,LW,65,35,19,16,9,7,161,7,14,35,15
Peter Cehlarik,LW,3,1,0,1,1,0,0,1,2,2,2
Torey Krug,D,61,47,10,37,21,16,145,15,33,36,48
Matt Grzelcyk,D,68,21,4,17,9,8,112,17,34,56,67
Joakim Nordstrom,C,48,7,4,3,2,1,49,7,17,91,31
Par Lindholm,C,40,6,3,3,2,1,35,1,4,23,26
Brad Marchand,LW,70,88,28,60,35,25,185,32,72,55,19
Brandon Carlo,D,67,18,4,14,5,9,110,10,23,126,76
Anton Blidh,LW,7,0,0,0,0,0,9,0,0,20,5
Anders Bjork,LW,58,19,9,10,5,5,66,5,10,43,21
Patrice Bergeron,C,61,56,30,26,12,14,200,13,28,46,46
Jeremy Lauzon,D,19,2,1,1,0,1,20,9,29,32,23
Charlie McAvoy,D,67,32,5,27,15,12,100,19,41,131,131
Cameron Hughes,C,1,0,0,0,0,0,0,0,0,1,2
Jack Studnicka,C,2,1,0,1,1,0,3,1,2,2,0
Brendan Gaunce,C,1,1,0,1,1,0,0,1,2,2,0
Brett Ritchie,RW,27,6,2,4,3,1,34,4,11,89,3
Trent Frederic,C,2,0,0,0,0,0,1,0,0,8,0
David Pastrnak,RW,70,95,48,47,30,17,278,20,40,47,22
Connor Clifton,D,31,2,2,0,0,0,20,6,12,90,33
Karson Kuhlman,C,25,6,1,5,4,1,45,5,13,36,8
Zach Senyshyn,RW,4,0,0,0,0,0,1,0,0,2,1
Sean Kuraly,C,69,22,6,16,9,7,96,12,24,145,31
Charlie Coyle,C,70,37,16,21,17,4,145,9,21,82,34
Steven Kampfer,D,10,2,0,2,1,1,13,1,2,15,8
John Moore,D,24,3,2,1,1,0,33,4,11,36,27
Chris Wagner,RW,67,10,6,4,3,1,78,19,47,192,31
Paul Carey,C,1,0,0,0,0,0,0,0,0,0,1
Zdeno Chara,D,68,13,5,8,2,6,85,23,60,78,101
Ondrej Kase,R,55,24,7,17,11,6,144,7,14,13,17
Urho Vaakanainen,D,5,0,0,0,0,0,2,0,0,8,3
David Krejci,C,61,43,13,30,14,16,83,9,23,37,32
